gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
4.073331081504944251e+01,-7.405625126803847991e+01,-4.300545547820444070e-01,-3.694880689238865673e-02,-2.085645165153095747e-03,6.359653328141794126e-02
4.073331734795064563e+01,-7.405627986466180346e+01,1.942719419080420618e-01,5.978449817898678909e-02,2.628326147442315575e-03,-5.227714877918043790e-02
4.073332353375499792e+01,-7.405623619824059745e+01,-1.230330583512302262e-01,-5.371036959015819401e-02,4.575846625959345548e-02,1.277937900411514616e-02
4.073332538217599108e+01,-7.405627946682714935e+01,7.668207378312101863e-01,-1.516183389489187197e-02,8.446836883959574216e-02,8.180593018482780476e-02
4.073332037980451759e+01,-7.405626952258626261e+01,-1.247079390512485952e+00,8.018568709054792534e-03,-2.547823319780193052e-03,2.509241354660597927e-03
4.073331529610624102e+01,-7.405624374424851908e+01,7.795000876577631854e-02,8.429591584055390330e-02,-6.608755261705380468e-03,3.341758865079136592e-03
4.073332004176069887e+01,-7.405625716173152284e+01,2.668656939634503900e-01,-5.620090522544824579e-03,1.361367813706115294e-02,-5.263675466599037484e-02
4.073330793969554264e+01,-7.405627028937574607e+01,-4.082520932479538622e-01,-6.262882035350353371e-02,-9.214678647620215546e-02,-1.047633210081252812e-02
4.073331870761565909e+01,-7.405624811283918518e+01,5.312468216232018037e-01,3.260757056900590034e-02,-3.039095722618244400e-02,-1.929931440980586083e-02
4.073331694091911714e+01,-7.405626708765440469e+01,-1.604938977503420627e-01,1.133246940854947815e-01,5.911510432473787713e-02,3.799982716489793202e-03
4.073332085476053521e+01,-7.405626300596915712e+01,1.128630656260745102e+00,4.021737491511046675e-02,-4.738094861929899315e-02,-2.464236475392467870e-03
4.073332033326826007e+01,-7.405625365569827068e+01,4.740024387003798773e-02,-1.362582934425493088e-02,-2.067876402334449873e-02,-4.140432794340699434e-03
4.073331690141051808e+01,-7.405622761374648633e+01,-7.860326645850516103e-01,-4.357041356309473285e-02,-3.956745943653078995e-02,3.404065387527029779e-02
4.073331881993646419e+01,-7.405625477834932724e+01,1.941958558265730383e+00,-2.111123874533952713e-02,-1.429508835570924077e-02,-8.572517249276255871e-03
4.073332833472652936e+01,-7.405627919290498085e+01,-8.564613906017537470e-01,4.639975272412322216e-02,-3.301094706420693026e-02,7.182338032283189233e-02
4.073332242714202778e+01,-7.405626373538667906e+01,2.116121774357023533e+00,-5.470649134065451620e-03,1.585705877118308293e-02,-2.473192333655327077e-02
4.073332058957711865e+01,-7.405627317622149519e+01,2.838449643313430748e+00,-1.710087502729290207e-02,-5.525884734694400113e-02,-1.412600200497222958e-02
4.073332383279177549e+01,-7.405626071777777497e+01,7.709558509347028687e-01,8.923505551940595637e-02,7.477470549535160382e-02,-2.573400022225431211e-02
4.073330609881460163e+01,-7.405626498207990949e+01,1.291926960886320863e+00,1.796069249989614910e-02,-3.765169536735725464e-02,-1.142177898238682654e-01
4.073331577743843468e+01,-7.405625465826808806e+01,-2.816291347579632731e+00,-7.053279270716414535e-03,-1.799477199911276096e-02,-8.067396498841876776e-03
4.073333374780757055e+01,-7.405626788550735284e+01,6.829714725187100433e-01,7.729704197869269322e-02,-6.483800123123729942e-02,2.616538536927322332e-03
