mag_x (uT),mag_y (uT),mag_z (uT)
1.647923200773874441e+01,1.233500875246014061e+01,4.724385351262728250e+01
1.642584123625536563e+01,1.264482569146807478e+01,4.691266760416657888e+01
1.630106610988237392e+01,1.230780097606175616e+01,4.706739035503713353e+01
1.642875821386048329e+01,1.270137851671384865e+01,4.713894637624002826e+01
1.650748631154944235e+01,1.253482669240372260e+01,4.685731406020411072e+01
1.613925389082460526e+01,1.234560109099100167e+01,4.671387782899283536e+01
1.696456744214581036e+01,1.237345429370109606e+01,4.692400229986231608e+01
1.629668514036189109e+01,1.248427949071158061e+01,4.701518900151094726e+01
1.657140387284546534e+01,1.289699192885493062e+01,4.723644194962670895e+01
1.639880728811723287e+01,1.263812627481329010e+01,4.688623298567832620e+01
1.646920273953648817e+01,1.236507889349607581e+01,4.673931413411384739e+01
1.644268611678643666e+01,1.253865710302866887e+01,4.709982924141134930e+01
1.641566435623973774e+01,1.259892546909838273e+01,4.692279857383353203e+01
1.663435971891769327e+01,1.281277636136629816e+01,4.704528858914853373e+01
1.660389899291364912e+01,1.243108507448462952e+01,4.713705938133432483e+01
1.670076480907474092e+01,1.260510081925096948e+01,4.690219568974637099e+01
1.630483412674329813e+01,1.258779296733268716e+01,4.662835164698662282e+01
1.662345062382194882e+01,1.239750635266036127e+01,4.672939261203615757e+01
1.666833951311324569e+01,1.246128536080247962e+01,4.703082079091167600e+01
1.645971205207828447e+01,1.238672234457406063e+01,4.709387515844797178e+01
1.619395114719089435e+01,1.270721169450455257e+01,4.689171315070257862e+01
1.679113073489362051e+01,1.281675598170499342e+01,4.667436875408820640e+01
1.619205743110946116e+01,1.243858522026187963e+01,4.712915148265512499e+01
