gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.134215024170578651e-02,-3.876554054767549634e-02,1.925988942445679836e-02
2.110097264973680858e-02,-3.353315285260217299e-02,1.049973793363629705e-02
-2.144838617724569019e-02,4.669252347549637805e-02,2.395405040835349442e-02
-4.927828559129395110e-03,3.214146244411827946e-02,1.005700854072420214e-01
-2.682486147156865411e-02,-2.140174762584867371e-02,-4.140458822502635777e-02
1.886626793177710593e-02,-2.711901280519929749e-02,4.366671184459296196e-02
1.295392270496806102e-02,-9.354406932910270742e-03,1.157572837194651046e-02
2.610779985895773925e-02,-1.099730232698556583e-02,-2.991410866036567015e-02
2.469466205758784165e-03,3.836099225480930734e-03,-3.258015918389159382e-02
3.659722665478425813e-02,-8.938160013651134939e-02,4.540119428204147933e-02
-3.511897182636972842e-02,-6.311117992687567679e-02,-3.800995401365282050e-02
2.979901526084009766e-03,1.912119524692632716e-02,2.500347264332236988e-02
4.439707229620064310e-02,3.985651774958010735e-02,-2.298077092434330088e-02
-1.472875335014256493e-02,3.322807930578246943e-03,2.330521710320500664e-02
-3.719868230414847404e-02,4.238359143368469750e-02,-2.583661975098197616e-02
-7.430715567286666490e-02,4.061290635651117198e-02,-5.540404179502305890e-03
1.815228363303162187e-02,-4.286664223566181292e-02,-1.270046751633682192e-01
5.822960446001382989e-02,-1.408014944963758945e-02,5.324571283689130512e-03
-1.978439894636266697e-02,-1.046393599827200992e-03,-1.727588226644341269e-03
4.428778706349825040e-02,3.845131369767405827e-02,3.852923506325708902e-02
4.967311893044327326e-02,7.118704802220304773e-02,3.643242304408024490e-02
8.914389862452927471e-02,-3.111929776814922541e-02,2.612916881453479501e-02
-5.223202706594469273e-03,4.123735887496746133e-02,1.364670835034841913e-02
5.224830508747421026e-02,4.714000283902210209e-02,1.703473898133105180e-02
3.419782779943636442e-02,2.224317863373488288e-02,-2.753102308872366552e-02
2.736459538833001595e-02,-1.783668252100515869e-02,-4.069381866324451474e-04
-4.563089962711919939e-02,1.777429382048391002e-02,6.674792650687713484e-03
2.433721368873752958e-04,-3.198079976997043883e-02,-2.984454911764864229e-02
-1.778208278464756334e-02,-1.993934203399148550e-02,-2.169463370221148130e-02
-3.517928834511149447e-03,-7.341754877925683355e-03,-4.434160851993915187e-02
1.080619798785943490e-02,-1.310952890028237736e-03,-5.327652707428056494e-02
3.711835118018425028e-02,-1.000433086979639688e-02,-3.449827233464439202e-02
-8.257817856110504298e-04,-2.533763731619272791e-02,-3.822772120098372889e-02
6.878088040501301181e-02,-8.084684374763154158e-02,7.687550332376244522e-02
-4.574965248051397759e-02,5.838592868089850091e-02,-1.869284464582793293e-02
7.096906300864612438e-02,-2.088533416757566014e-02,-6.845746469575405245e-03
2.246333130828235061e-02,-6.523579010193117367e-02,4.532739942944975786e-02
2.196778240465968243e-02,-4.390768734141067137e-02,-5.043371361688914895e-02
7.701660515960728759e-02,2.878915256003665782e-02,-7.054402976299141426e-02
6.363399540289674250e-02,9.627501581547858595e-03,1.102586298936218852e-02
-3.536610188055393234e-02,3.886039821178163822e-02,2.531567551913883191e-02
-2.741523932362054366e-03,9.719756184400189097e-03,-1.507695782802411302e-02
1.265176493985531447e-01,1.464234503026437539e-02,9.173549247920654084e-03
-3.909495488662918100e-02,3.463564014435201871e-02,-4.998650791541799088e-02
-7.945703360842251706e-02,-6.111422237594693087e-03,7.048210107428823368e-02
-5.187416504338394907e-02,5.858888013130867517e-02,1.587946808840333054e-02
5.722919941322711368e-02,-1.409212373982027169e-03,-2.746410844602790308e-02
5.367751898128752391e-03,5.770161666145742080e-02,4.227162067865234546e-02
2.741299850570439942e-02,4.531183133219537224e-02,-3.793574269303237601e-02
1.445168837365349082e-02,-1.121016527637663102e-01,-8.486013347027930587e-02
1.627107045433441590e-02,-6.046450333485917789e-02,-9.507686359467897030e-02
4.261105877051722668e-02,-6.165243147690336462e-03,1.403627238476846777e-02
8.873498168288804222e-02,4.575920011010262134e-02,-4.683786536559446725e-03
1.846921989582235579e-02,6.578801105039407300e-03,1.994788793597015303e-03
-8.806102847221978017e-03,2.684416834736395516e-02,-1.762171096939816814e-02
-2.594976691830122584e-02,-1.278935839984595910e-02,-9.969222213884830486e-02
7.461688851876126238e-03,5.919044415036989193e-02,4.128742367930593460e-02
-1.894380510904578388e-02,7.324636146436859507e-02,8.904332142489227928e-03
4.398098324391711694e-02,3.017953312864303864e-02,3.470805545363042643e-02
4.573187847174304405e-02,-6.175764859749909019e-02,-2.789475248857849546e-02
8.664356024739145422e-04,4.062518632722640632e-02,-1.547319681923667485e-02
3.953629866030641815e-02,3.473193206840945874e-02,-1.029314825194842520e-01
-4.103176144340536791e-02,3.701770698473125926e-02,-2.247828398508517830e-02
-4.459476782773436065e-02,4.866118971814033245e-02,-3.621487058089008226e-02
2.228942200108339003e-02,-4.212380993340823082e-02,-3.145865168541370910e-02
9.249756859226265782e-02,5.600393858771327005e-02,-1.581630760266986707e-02
-4.774489679875642406e-02,-6.808140636970471879e-03,-8.371572384537151554e-04
-4.186578049530901430e-02,1.085961641945634021e-01,-4.365837914540110498e-02
