accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
2.186629657067529989e-03,2.092742561889462125e-04,-9.799506911413706334e+00
1.264703127650813365e-03,1.948546271742554892e-03,-9.804008317180317178e+00
-1.504268962602872423e-03,-1.546615528137645565e-02,-9.805491491864069431e+00
-3.655305511016100173e-04,4.749435708584295174e-03,-9.803977143658265447e+00
2.840184912038079545e-03,-6.733837589613497245e-03,-9.782274401512841777e+00
-2.891520679308989990e-03,-5.785249283471997515e-04,-9.792182835546118014e+00
-5.299953117406538093e-03,-8.562979865428877943e-03,-9.809456627258747119e+00
6.077112942572035145e-03,2.632268600497972635e-03,-9.797029655933734205e+00
2.142051054057696972e-03,4.788472665296437947e-03,-9.806280672249430452e+00
3.469017019943992225e-03,-8.279935490902515238e-04,-9.802636530643724200e+00
1.632734885280167801e-03,8.146332620264989596e-03,-9.814840401184701690e+00
-8.020837119290462336e-03,5.260942845730190963e-03,-9.820449488624170442e+00
4.088267667881423373e-03,5.774482702813485413e-03,-9.813588655502645253e+00
3.332423809225254236e-03,9.390796019472327262e-05,-9.797151664812806970e+00
3.732343262877445018e-03,-1.544865794596666023e-02,-9.792220599001330683e+00
2.531444815883293967e-03,-4.236865104877156687e-03,-9.794286496718560997e+00
2.916265255594018089e-03,6.049338902287004251e-03,-9.807927992540960815e+00
-8.478626014129924185e-03,-5.647961638888723997e-03,-9.792642610863300234e+00
-5.122813167316821355e-03,-1.004617424802057082e-02,-9.800121930028971917e+00
-4.483119573616817927e-03,-2.666810485717725516e-03,-9.782468176864288267e+00
-3.655281920404404410e-03,9.519531424252335866e-03,-9.799852983763722492e+00
5.119402734964202889e-04,1.894519335608306878e-03,-9.799060043447758162e+00
-3.767229575018022757e-03,-4.907550649511277334e-03,-9.797277707695716487e+00
-5.124372229201751630e-03,1.807179593814395996e-03,-9.792379995815430505e+00
2.304206501276694682e-03,-4.564819999968759505e-04,-9.811717466170483348e+00
4.464315369000568657e-04,2.810490098099482762e-04,-9.803309581902171388e+00
-3.970874754173217037e-03,1.047384657997446102e-02,-9.804431832678544012e+00
9.597904160521504927e-03,-1.310337020142224003e-03,-9.794490650304574331e+00
-1.060884658145677499e-03,-2.729347624529068241e-03,-9.790651907167539747e+00
4.768288869286480339e-03,-7.487326471642382958e-05,-9.791810311598661443e+00
4.491157615226575375e-03,-2.942504778270247593e-03,-9.804180412534538647e+00
-2.641358979459594494e-03,6.036572051123329993e-03,-9.801475239611935564e+00
-1.249020283144177583e-03,-3.972817260303675331e-04,-9.801289616738840138e+00
-1.477578032638776889e-03,1.026363092985425537e-02,-9.812299930511631629e+00
6.486967463699316091e-04,2.266986963972070918e-03,-9.807067905788610318e+00
-1.686831748136672152e-03,-6.165364188657345389e-03,-9.803753104482407110e+00
-2.195798548410254382e-03,-3.363651130685469878e-03,-9.805580994919765203e+00
4.452991480493734104e-03,2.039872884202641526e-03,-9.801602723193544975e+00
1.555646140159906840e-03,-4.191616272409246641e-03,-9.809198091774693040e+00
6.919762250809656338e-03,-1.646633821374845954e-03,-9.802792954330765696e+00
4.862734831523257001e-03,-4.344886165780153880e-04,-9.796876607828419736e+00
2.094416279311461099e-03,9.231722268706792425e-03,-9.804404011349541648e+00
3.522100455592797226e-03,4.820072288524250397e-03,-9.805679437880007399e+00
4.555011184991191071e-03,-1.668550544854484211e-03,-9.808700545574074781e+00
-1.003847646508574092e-03,3.261509536246127473e-03,-9.806005307520456071e+00
-3.903425413679827670e-03,-7.296101433421183641e-03,-9.803341687510481961e+00
-5.021654277699762886e-03,-1.151690160833985024e-02,-9.815810337406833952e+00
7.240964653109558530e-03,-6.765740029475406613e-03,-9.814331535614339685e+00
3.731927187616256199e-03,5.788964931069067940e-03,-9.799344999722592320e+00
-1.051943213048336413e-02,1.184527820540445158e-03,-9.807036030128529092e+00
-1.029628975993288238e-02,-3.733978827120275259e-04,-9.809463005307492267e+00
-7.569968687237998983e-03,2.202695322396136437e-03,-9.807828620924953000e+00
4.590300257294573083e-03,6.099183032789566410e-03,-9.803960574167403408e+00
2.985933756413335690e-03,7.984347947681847421e-04,-9.808255556878251014e+00
-2.933237857001215216e-03,5.240742455107316039e-03,-9.803536249228613997e+00
4.063073991926154441e-03,4.316183521175001288e-04,-9.792702334328271974e+00
-1.377105698314619992e-04,-6.644390659131580931e-03,-9.814008316493406880e+00
8.556878661798099361e-03,-4.477745630688990605e-03,-9.794881476094930761e+00
-4.127509635574238222e-04,-2.641197000025861767e-03,-9.803775183366754575e+00
-3.992312915114854151e-03,-5.706259651602515852e-03,-9.808739112348389355e+00
-8.175211186887715309e-03,3.388070092396017457e-03,-9.798496650381611772e+00
6.629207272918926849e-03,-5.722046999760640323e-03,-9.821771866776149551e+00
4.498410819313754423e-03,-6.501223428312060716e-03,-9.795956779188887964e+00
-4.317526542912310944e-03,5.777784147445232457e-03,-9.801015314199734263e+00
1.267417057139338899e-04,7.652586301214048779e-03,-9.794726021596574128e+00
4.373214240690189510e-04,-7.458304593438939284e-03,-9.804356730668539299e+00
9.218339396366860214e-03,7.526062795225245926e-03,-9.788682089140554154e+00
-1.737646471517952096e-03,6.216609882975492746e-04,-9.790202421533800603e+00
-9.159164137247523263e-03,-2.796038951268254094e-03,-9.794927080125487961e+00
-4.533116247665683329e-03,-2.778817439207186945e-03,-9.811060833968234363e+00
-3.390786235152820627e-03,9.602111827486183721e-03,-9.795140655265822005e+00
4.503354429599057927e-03,1.290685695819762452e-03,-9.800023055950026318e+00
6.230106915480933261e-04,-3.151059257187865947e-03,-9.813444095493224495e+00
-4.451991698481747896e-03,2.275519386171715418e-03,-9.796688086940527285e+00
-5.930742289371892031e-03,-6.745112973951413599e-03,-9.796507917624724726e+00
-9.008335432415053544e-04,1.673545479304016856e-03,-9.800580541867237372e+00
-1.079252788101553104e-02,4.584574800454825801e-03,-9.801735460659349641e+00
-4.607211709651263046e-03,3.479795686476381752e-03,-9.804437022037012284e+00
6.470635005622559464e-04,3.076811535603117889e-03,-9.803080318724978426e+00
4.873193157379756418e-03,2.606815513966225222e-03,-9.797179319509410789e+00
3.887583697206869939e-03,5.672714438091750085e-03,-9.796826176326822733e+00
1.832854289708784170e-03,3.779468603592293138e-03,-9.790898905114834960e+00
-4.748785052788347637e-03,-4.353065122080835604e-03,-9.801441206241493731e+00
7.071018071427368889e-04,1.084904774814026383e-02,-9.822272392894083382e+00
-3.264078034911010832e-03,-4.026594048921160185e-03,-9.792756874548446788e+00
3.008758551638010818e-04,1.902164982245937302e-02,-9.803746012602781335e+00
-4.159266510925936329e-04,-2.018628487769478629e-03,-9.802347394653182278e+00
-9.580212025537250542e-03,-4.476467298140239526e-03,-9.815040201239758844e+00
6.043335118358071113e-03,-2.900394780630737284e-03,-9.796362740153986337e+00
-1.325104705628170690e-02,2.506994625402417156e-03,-9.789895119898968545e+00
-9.279589199548359370e-04,-6.834477771493974001e-03,-9.809005763196743999e+00
-4.019641817815054405e-03,3.767354528190201856e-04,-9.794977025625708933e+00
-8.227495575589415140e-04,-4.412265898173157661e-03,-9.793089871955112713e+00
-1.251767685692188256e-02,-3.068341884455562645e-03,-9.782050332123324310e+00
1.160283173130370431e-02,6.681870583245505838e-04,-9.804247860307089724e+00
-5.496986190356795143e-03,-1.595679014467126303e-03,-9.814531020045555110e+00
-1.519774457478475366e-02,-4.811024800640113785e-03,-9.793175794587035909e+00
-5.851353913395075830e-03,-4.059151229489333344e-03,-9.805023132576396350e+00
